participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.time_Instructions,player.time_Queue,player.time_Service,player.time_BP,player.time_Results,player.endowment,player.start_pos,player.end_pos,player.service_time,player.waiting_time,player.pay_rate,player.swap_method,player.pay_method,player.round_payoff,player.metadata,player.allMetadata,player.discrete,player.messaging,player.cost,player.payoff,group.id_in_subsession,group.ran_ready_function,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,x6ldnyy6,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:40.963263+00:00,1,,,26,3,,2019-04-18T02:25:44.091Z,,2019-04-18T02:26:47.679Z,,5.0,3,4,12.0,59.0,2.0,bid,gain,20.96,"{""1555554347333"":{""status"":""accepted"",""requester"":3,""requestee"":1,""message"":""asdfa"",""bid"":""2.00"",""queue"":[4,3,1,2]},""1555554353992"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""asdfdfdfdfdfd"",""bid"":null,""queue"":[4,1,3,2]},""1555554367076"":{""status"":""cancelled"",""requester"":3,""requestee"":1,""queue"":[4,1,3,2]},""1555554373420"":{""status"":""accepted"",""requester"":2,""requestee"":3,""message"":""dfdfdfdfd"",""bid"":null,""queue"":[4,1,2,3]}}","{""1"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""2"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""3"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""4"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}""}",1,1,0.01,0,1,2019-04-18 02:25:44.636624+00:00,1,qwvry8pt,,,,,,1
2,3y5f60q4,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:41.366875+00:00,1,,,27,4,,2019-04-18T02:25:44.712Z,2019-04-18T02:26:09.667Z,2019-04-18T02:26:46.875Z,,5.0,1,1,12.0,25.0,2.0,bid,gain,26.99,"{""1555554347333"":{""status"":""accepted"",""requester"":3,""requestee"":1,""message"":""asdfa"",""bid"":""2.00"",""queue"":[4,3,1,2]},""1555554353992"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""asdfdfdfdfdfd"",""bid"":null,""queue"":[4,1,3,2]},""1555554367076"":{""status"":""cancelled"",""requester"":3,""requestee"":1,""queue"":[4,1,3,2]},""1555554373420"":{""status"":""accepted"",""requester"":2,""requestee"":3,""message"":""dfdfdfdfd"",""bid"":null,""queue"":[4,1,2,3]}}","{""1"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""2"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""3"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""4"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}""}",1,1,0.01,0,1,2019-04-18 02:25:44.636624+00:00,1,qwvry8pt,,,,,,1
3,ai3wo2f5,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:41.571185+00:00,1,,,26,1,,2019-04-18T02:25:44.720Z,2019-04-18T02:26:21.664Z,2019-04-18T02:26:47.764Z,,5.0,2,2,12.0,37.0,2.0,swap,gain,27.89,"{""1555554347333"":{""status"":""accepted"",""requester"":3,""requestee"":1,""message"":""asdfa"",""bid"":""2.00"",""queue"":[4,3,1,2]},""1555554353992"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""asdfdfdfdfdfd"",""bid"":null,""queue"":[4,1,3,2]},""1555554367076"":{""status"":""cancelled"",""requester"":3,""requestee"":1,""queue"":[4,1,3,2]},""1555554373420"":{""status"":""accepted"",""requester"":2,""requestee"":3,""message"":""dfdfdfdfd"",""bid"":null,""queue"":[4,1,2,3]}}","{""1"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""2"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""3"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""4"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}""}",1,1,0.03,0,1,2019-04-18 02:25:44.636624+00:00,1,qwvry8pt,,,,,,1
4,pzykb92p,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:42.212660+00:00,1,,,27,2,,2019-04-18T02:25:44.031Z,2019-04-18T02:26:33.648Z,2019-04-18T02:26:47.679Z,,5.0,4,3,12.0,47.0,2.0,swap,gain,26.06,"{""1555554347333"":{""status"":""accepted"",""requester"":3,""requestee"":1,""message"":""asdfa"",""bid"":""2.00"",""queue"":[4,3,1,2]},""1555554353992"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""asdfdfdfdfdfd"",""bid"":null,""queue"":[4,1,3,2]},""1555554367076"":{""status"":""cancelled"",""requester"":3,""requestee"":1,""queue"":[4,1,3,2]},""1555554373420"":{""status"":""accepted"",""requester"":2,""requestee"":3,""message"":""dfdfdfdfd"",""bid"":null,""queue"":[4,1,2,3]}}","{""1"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""2"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""3"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}"", ""4"": ""{\""1555554347333\"":{\""status\"":\""accepted\"",\""requester\"":3,\""requestee\"":1,\""message\"":\""asdfa\"",\""bid\"":\""2.00\"",\""queue\"":[4,3,1,2]},\""1555554353992\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""asdfdfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,3,2]},\""1555554367076\"":{\""status\"":\""cancelled\"",\""requester\"":3,\""requestee\"":1,\""queue\"":[4,1,3,2]},\""1555554373420\"":{\""status\"":\""accepted\"",\""requester\"":2,\""requestee\"":3,\""message\"":\""dfdfdfdfd\"",\""bid\"":null,\""queue\"":[4,1,2,3]}}""}",1,1,0.02,0,1,2019-04-18 02:25:44.636624+00:00,1,qwvry8pt,,,,,,1
1,x6ldnyy6,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:40.963263+00:00,1,,,26,4,,2019-04-18T02:26:57.075Z,2019-04-18T02:27:45.651Z,2019-04-18T02:27:59.715Z,2019-04-18T02:28:01.841Z,5.0,4,3,12.0,49.0,2.0,swap,gain,26.02,"{""1555554420578"":{""status"":""accepted"",""requester"":4,""requestee"":2,""message"":""fdfdfdfdfdfdf"",""bid"":null,""queue"":[3,1,4,2]},""1555554425885"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""fdfd"",""bid"":null,""queue"":[1,3,4,2]}}","{""1"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""2"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""3"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""4"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}""}",0,1,0.02,26,1,2019-04-18 02:26:57.250629+00:00,2,qwvry8pt,,,,,,1
2,3y5f60q4,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:41.366875+00:00,1,,,27,2,,2019-04-18T02:26:57.786Z,,2019-04-18T02:27:58.839Z,2019-04-18T02:28:04.683Z,5.0,3,4,12.0,60.0,2.0,bid,gain,26.96,"{""1555554420578"":{""status"":""accepted"",""requester"":4,""requestee"":2,""message"":""fdfdfdfdfdfdf"",""bid"":null,""queue"":[3,1,4,2]},""1555554425885"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""fdfd"",""bid"":null,""queue"":[1,3,4,2]}}","{""1"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""2"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""3"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""4"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}""}",1,1,0.01,27,1,2019-04-18 02:26:57.250629+00:00,2,qwvry8pt,,,,,,1
3,ai3wo2f5,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:41.571185+00:00,1,,,26,1,,2019-04-18T02:26:57.785Z,2019-04-18T02:27:21.663Z,2019-04-18T02:27:58.917Z,2019-04-18T02:28:06.982Z,5.0,2,1,12.0,25.0,2.0,swap,gain,26.25,"{""1555554420578"":{""status"":""accepted"",""requester"":4,""requestee"":2,""message"":""fdfdfdfdfdfdf"",""bid"":null,""queue"":[3,1,4,2]},""1555554425885"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""fdfd"",""bid"":null,""queue"":[1,3,4,2]}}","{""1"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""2"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""3"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""4"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}""}",0,1,0.03,26,1,2019-04-18 02:26:57.250629+00:00,2,qwvry8pt,,,,,,1
4,pzykb92p,,0,13,12,Lines_Queueing,2,Results,169.233.192.197,2019-04-18 02:25:42.212660+00:00,1,,,27,3,,2019-04-18T02:26:56.754Z,2019-04-18T02:27:33.651Z,2019-04-18T02:27:58.791Z,2019-04-18T02:28:09.330Z,5.0,1,2,12.0,36.0,2.0,swap,gain,26.64,"{""1555554420578"":{""status"":""accepted"",""requester"":4,""requestee"":2,""message"":""fdfdfdfdfdfdf"",""bid"":null,""queue"":[3,1,4,2]},""1555554425885"":{""status"":""accepted"",""requester"":1,""requestee"":3,""message"":""fdfd"",""bid"":null,""queue"":[1,3,4,2]}}","{""1"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""2"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""3"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}"", ""4"": ""{\""1555554420578\"":{\""status\"":\""accepted\"",\""requester\"":4,\""requestee\"":2,\""message\"":\""fdfdfdfdfdfdf\"",\""bid\"":null,\""queue\"":[3,1,4,2]},\""1555554425885\"":{\""status\"":\""accepted\"",\""requester\"":1,\""requestee\"":3,\""message\"":\""fdfd\"",\""bid\"":null,\""queue\"":[1,3,4,2]}}""}",0,1,0.01,27,1,2019-04-18 02:26:57.250629+00:00,2,qwvry8pt,,,,,,1
