,1559861564522,1559861515110,1559861486521,1559861527809,1559861529343,1559861490570,1559861488247,1559861502836,1559861513501,1559861522092,1559861492222,1559861651829,1559861657654,1559861653991,1559861639300,1559861645413,1559861661934,1559861659454,1559861664423,1559861647910,1559861670128,1559861622264,1559861655773,1559861632788,1559861628550,1559861643181,1559861674440,1559861678580,1559861640178,1559861650820,1559861657819,1559861637194,1559861623142,1559861670828,1559861631596,1559861689852,1559861672588,1559861640108,1559861706408,1559861674183,1559861630789,1559861622901,1559861627947,1559861774605,1559861821827,1559861792290,1559861836915,1559861810300,1559861780001,1559861811266,1559861793529,1559861800721,1559861768397,1559861795883,1559861767059,1559861774148,1559861935274,1559861970294,1559861939044,1559861932018,1559861922993,1559861953434,1559861963973,1559861916281,1559861928138,1559861904218,1559861927607,1559861920471,1559861909737,1559861944435,1559861911994,1559861938786,1559861907825,1559861978843,1559861922026,1559861952795,1559861904669
bid,,0.25,1.50,,,,0.30,0.40,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.60,,0.50,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,
message,,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,hi,yes,swap,,pls,,yes,give u yerba,help,,ill swap back i swear,,please,,,$$$$,,,pls,^_^,
originalTS,1559861564522,1559861515110,1559861486521,1559861527809,1559861529343,1559861490570,1559861488247,1559861502836,1559861513501,1559861522092,1559861492222,1559861651829,1559861657654,1559861653991,1559861639300,1559861645413,1559861661934,1559861659454,1559861664423,1559861647910,1559861670128,1559861622264,1559861655773,1559861632788,1559861628550,1559861643181,1559861674440,1559861678580,1559861640178,1559861650820,1559861657819,1559861637194,1559861623142,1559861670828,1559861631596,1559861689852,1559861672588,1559861640108,1559861706408,1559861674183,1559861630789,1559861622901,1559861627947,1559861774605,1559861821827,1559861792290,1559861836915,1559861810300,1559861780001,1559861811266,1559861793529,1559861800721,1559861768397,1559861795883,1559861767059,1559861774148,1559861935274,1559861970294,1559861939044,1559861932018,1559861922993,1559861953434,1559861963973,1559861916281,1559861928138,1559861904218,1559861927607,1559861920471,1559861909737,1559861944435,1559861911994,1559861938786,1559861907825,1559861978843,1559861922026,1559861952795,1559861904669
queue,"[1, 4, 3, 2, 6, 7, 5, 8]","[1, 4, 3, 2, 6, 7, 5, 8]","[1, 2, 3, 4, 6, 5, 7, 8]","[1, 4, 3, 2, 6, 7, 5, 8]","[1, 4, 3, 2, 6, 7, 5, 8]","[1, 3, 4, 2, 6, 5, 7, 8]","[1, 3, 2, 4, 6, 5, 7, 8]","[1, 4, 3, 2, 6, 5, 7, 8]","[1, 4, 3, 2, 6, 5, 7, 8]","[1, 4, 3, 2, 6, 7, 5, 8]","[1, 3, 4, 2, 6, 5, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 1, 3, 4, 6, 5, 7, 8]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 6, 5, 7, 8]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 6, 5, 7, 8]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 6, 5, 8, 7]","[2, 1, 3, 4, 5, 6, 7, 8]","[2, 1, 3, 4, 6, 5, 8, 7]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 1, 3, 4, 6, 5, 7, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 6, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 6, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 6, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 6, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 8, 6]","[1, 2, 3, 4, 5, 7, 6, 8]"
requestee,7,5,5,5,6,7,2,3,3,3,2,3,4,4,3,3,4,3,4,3,4,4,3,3,4,3,4,5,5,6,6,6,6,6,5,5,5,7,7,7,7,1,2,7,8,7,8,8,5,4,4,4,1,3,3,1,4,5,5,4,4,4,5,4,4,3,2,2,3,3,2,3,1,7,6,7,6
requester,5,7,6,8,7,8,3,4,2,2,4,4,5,5,4,4,5,4,5,4,5,5,4,4,5,4,5,6,6,7,7,7,7,7,6,6,6,8,8,8,8,2,3,8,7,8,7,7,6,6,6,6,2,4,4,3,5,7,7,5,5,5,7,5,5,4,3,3,4,4,3,4,2,8,8,8,7
status,cancelled,accepted,accepted,declined,declined,declined,accepted,accepted,declined,cancelled,accepted,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,declined,cancelled,declined,declined,declined,declined,declined,declined,declined,declined,declined,accepted,accepted,declined,accepted,declined,declined,declined,accepted,declined,declined,cancelled,declined,declined,declined,declined,declined,cancelled,declined,declined,declined,declined,declined,declined,declined,cancelled,declined,declined,declined,cancelled,accepted,declined,accepted
timeSinceStart,84.02600002288818,34.61399984359741,6.0249998569488525,47.312999963760376,48.79299998283386,10.019999980926514,7.694000005722046,22.282999992370605,32.94799995422363,41.539000034332275,11.680999994277954,31.60199999809265,37.42700004577637,33.763999938964844,19.072999954223633,25.186000108718872,41.70700001716614,39.22699999809265,44.19600009918213,27.683000087738037,49.901000022888184,2.0369999408721924,35.5460000038147,12.561000108718872,8.322999954223633,22.953999996185303,54.21300005912781,58.35800004005432,19.956000089645386,30.598000049591064,37.59700012207031,16.972000122070312,2.9200000762939453,50.60600018501282,11.374000072479248,69.63000011444092,52.366000175476074,19.8510000705719,86.15100002288818,53.926000118255615,10.532000064849854,2.6489999294281006,7.694999933242798,13.980000019073486,61.20199990272522,31.664999961853027,76.28999996185303,49.674999952316284,19.4689998626709,50.73399996757507,32.996999979019165,40.18899989128113,7.795000076293945,35.25499987602234,6.430999994277954,13.532000064849854,33.24799990653992,68.26799988746643,37.01799988746643,29.991999864578247,20.967000007629395,51.407999992370605,61.94700002670288,14.254999876022339,26.111999988555908,2.169999837875366,25.55900001525879,18.4229998588562,7.688999891281128,42.38699984550476,9.94599986076355,36.73799991607666,5.771000146865845,76.91299986839294,20.09599995613098,50.86500000953674,2.6669998168945312
